Year,Movies
1949,0.0
1950,1.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,1.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,1.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,1.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,2.0
1976,1.0
1977,2.0
1978,2.0
1979,3.0
1980,0.0
1981,1.0
1982,0.0
1983,1.0
1984,1.0
1985,0.0
1986,0.0
1987,1.0
1988,1.0
1989,0.0
1990,1.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,1.0
1997,0.0
1998,0.0
1999,1.0
2000,0.0
2001,2.0
2002,0.0
2003,2.0
2004,1.0
2005,2.0
2006,1.0
2007,0.0
2008,1.0
2009,0.0
2010,1.0
2011,3.0
2012,7.0
2013,0.0
2014,3.0
2015,6.0
2016,5.0
